1,1,954.4010977
2,2,796.6567528
3,3,800.3232613
4,4,799.9797273
5,5,799.9886806
6,6,799.9968256
8,8,800.0014052
10,10,800.0029475
15,15,800.0048107
26,26,800.0059154
42,42,800.0032429
62,62,800.0028419
