"ls","u","Points:0","Points:1","Points:2"
8.600000e-01,5.800133e+02,0.000000e+00,0.000000e+00,0.000000e+00
6.100000e-01,5.350267e+02,2.500000e-01,0.000000e+00,0.000000e+00
6.100000e-01,5.350267e+02,2.500000e-01,5.000000e-01,0.000000e+00
8.600000e-01,5.800133e+02,0.000000e+00,5.000000e-01,0.000000e+00
6.100000e-01,5.350267e+02,2.500000e-01,0.000000e+00,0.000000e+00
3.600000e-01,4.900848e+02,5.000000e-01,0.000000e+00,0.000000e+00
3.600000e-01,4.900848e+02,5.000000e-01,5.000000e-01,0.000000e+00
6.100000e-01,5.350267e+02,2.500000e-01,5.000000e-01,0.000000e+00
3.600000e-01,4.900848e+02,5.000000e-01,0.000000e+00,0.000000e+00
1.100000e-01,4.452669e+02,7.500000e-01,0.000000e+00,0.000000e+00
1.100000e-01,4.452669e+02,7.500000e-01,5.000000e-01,0.000000e+00
3.600000e-01,4.900848e+02,5.000000e-01,5.000000e-01,0.000000e+00
1.100000e-01,4.452669e+02,7.500000e-01,0.000000e+00,0.000000e+00
5.960465e-10,4.253494e+02,8.600000e-01,0.000000e+00,0.000000e+00
5.960465e-10,4.253494e+02,8.600000e-01,5.000000e-01,0.000000e+00
1.100000e-01,4.452669e+02,7.500000e-01,5.000000e-01,0.000000e+00
-1.400000e-01,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
-1.400000e-01,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
5.960465e-10,4.245141e+02,8.600000e-01,5.000000e-01,0.000000e+00
5.960465e-10,4.245141e+02,8.600000e-01,0.000000e+00,0.000000e+00
