"ls","u","Points:0","Points:1","Points:2"
6.400000e-01,8.001729e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.900000e-01,7.001543e+02,2.500000e-01,0.000000e+00,0.000000e+00
3.900000e-01,7.001543e+02,2.500000e-01,5.000000e-01,0.000000e+00
6.400000e-01,8.001729e+02,0.000000e+00,5.000000e-01,0.000000e+00
3.900000e-01,7.001543e+02,2.500000e-01,0.000000e+00,0.000000e+00
1.400000e-01,6.000883e+02,5.000000e-01,0.000000e+00,0.000000e+00
1.400000e-01,6.000883e+02,5.000000e-01,5.000000e-01,0.000000e+00
3.900000e-01,7.001543e+02,2.500000e-01,5.000000e-01,0.000000e+00
-1.100000e-01,4.997961e+02,7.500000e-01,0.000000e+00,0.000000e+00
-3.600000e-01,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
-3.600000e-01,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
-1.100000e-01,4.997961e+02,7.500000e-01,5.000000e-01,0.000000e+00
1.400000e-01,6.000883e+02,5.000000e-01,0.000000e+00,0.000000e+00
-5.960464e-10,5.448881e+02,6.400000e-01,0.000000e+00,0.000000e+00
-5.960464e-10,5.448881e+02,6.400000e-01,5.000000e-01,0.000000e+00
1.400000e-01,6.000883e+02,5.000000e-01,5.000000e-01,0.000000e+00
-1.100000e-01,4.997961e+02,7.500000e-01,0.000000e+00,0.000000e+00
-1.100000e-01,4.997961e+02,7.500000e-01,5.000000e-01,0.000000e+00
-5.960464e-10,5.428816e+02,6.400000e-01,5.000000e-01,0.000000e+00
-5.960464e-10,5.428816e+02,6.400000e-01,0.000000e+00,0.000000e+00
