"u","Points:0","Points:1","Points:2"
5.7310418693e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.8000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.1920000054e+02,2.0000000000e+00,1.7599999905e+00,0.0000000000e+00
5.7310418693e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.1920000054e+02,2.0000000000e+00,1.7599999905e+00,0.0000000000e+00
4.1920000054e+02,1.7599999905e+00,2.0000000000e+00,0.0000000000e+00
5.7310418693e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.1920000054e+02,1.7599999905e+00,2.0000000000e+00,0.0000000000e+00
4.8000000000e+02,1.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.1920000054e+02,1.7599999905e+00,2.0000000000e+00,0.0000000000e+00
4.1920000054e+02,2.0000000000e+00,1.7599999905e+00,0.0000000000e+00
