"u","Points:0","Points:1","Points:2"
4.8000010958e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6000061741e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
4.6000061741e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
4.8000010958e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.6000061741e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
4.4000566360e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4000566360e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.6000061741e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
4.4000566360e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2003792120e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.2003792120e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.4000566360e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.2003792120e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.0320606742e+02,1.9600000381e+00,0.0000000000e+00,0.0000000000e+00
4.0320606742e+02,1.9600000381e+00,5.0000000000e-01,0.0000000000e+00
4.2003792120e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.0319183096e+02,1.9600000381e+00,5.0000000000e-01,0.0000000000e+00
4.0319183096e+02,1.9600000381e+00,0.0000000000e+00,0.0000000000e+00
