"u","Points:0","Points:1","Points:2"
7.9998675064e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.9996823151e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
6.9996823151e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
7.9998675064e+02,1.0000000000e+00,5.0000000000e-01,0.0000000000e+00
6.9996823151e+02,1.2500000000e+00,0.0000000000e+00,0.0000000000e+00
5.9989085392e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
5.9989085392e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
6.9996823151e+02,1.2500000000e+00,5.0000000000e-01,0.0000000000e+00
4.9975120332e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,5.0000000000e-01,0.0000000000e+00
4.9975120332e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
5.9989085392e+02,1.5000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4381795491e+02,1.6399999857e+00,0.0000000000e+00,0.0000000000e+00
5.4381795491e+02,1.6399999857e+00,5.0000000000e-01,0.0000000000e+00
5.9989085392e+02,1.5000000000e+00,5.0000000000e-01,0.0000000000e+00
4.9975120332e+02,1.7500000000e+00,0.0000000000e+00,0.0000000000e+00
4.9975120332e+02,1.7500000000e+00,5.0000000000e-01,0.0000000000e+00
5.4375608113e+02,1.6399999857e+00,5.0000000000e-01,0.0000000000e+00
5.4375608113e+02,1.6399999857e+00,0.0000000000e+00,0.0000000000e+00
