"ls","u","Points:0","Points:1","Points:2"
6.400000e-01,8.000695e+02,0.000000e+00,0.000000e+00,0.000000e+00
5.150000e-01,7.500943e+02,2.500000e-01,0.000000e+00,0.000000e+00
3.900000e-01,7.001138e+02,2.500000e-01,2.500000e-01,0.000000e+00
5.150000e-01,7.500943e+02,0.000000e+00,2.500000e-01,0.000000e+00
3.900000e-01,7.001138e+02,5.000000e-01,0.000000e+00,0.000000e+00
2.650000e-01,6.502327e+02,5.000000e-01,2.500000e-01,0.000000e+00
2.650000e-01,6.500653e+02,7.500000e-01,0.000000e+00,0.000000e+00
1.400000e-01,6.002338e+02,7.500000e-01,2.500000e-01,0.000000e+00
1.400000e-01,6.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
1.500000e-02,5.500000e+02,1.000000e+00,2.500000e-01,0.000000e+00
2.650000e-01,6.502327e+02,2.500000e-01,5.000000e-01,0.000000e+00
3.900000e-01,7.001138e+02,0.000000e+00,5.000000e-01,0.000000e+00
1.400000e-01,6.003442e+02,5.000000e-01,5.000000e-01,0.000000e+00
1.500000e-02,5.512355e+02,7.500000e-01,5.000000e-01,0.000000e+00
1.400000e-01,6.002338e+02,2.500000e-01,7.500000e-01,0.000000e+00
2.650000e-01,6.500653e+02,0.000000e+00,7.500000e-01,0.000000e+00
1.500000e-02,5.512355e+02,5.000000e-01,7.500000e-01,0.000000e+00
1.500000e-02,5.500000e+02,2.500000e-01,1.000000e+00,0.000000e+00
1.400000e-01,6.000000e+02,0.000000e+00,1.000000e+00,0.000000e+00
-1.100000e-01,4.998009e+02,7.500000e-01,7.500000e-01,0.000000e+00
-2.350000e-01,4.500000e+02,1.000000e+00,7.500000e-01,0.000000e+00
-3.600000e-01,4.000000e+02,1.000000e+00,1.000000e+00,0.000000e+00
-2.350000e-01,4.500000e+02,7.500000e-01,1.000000e+00,0.000000e+00
-1.100000e-01,5.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
1.400000e-01,5.884835e+02,7.500000e-01,2.500000e-01,0.000000e+00
1.500000e-02,5.500000e+02,1.000000e+00,2.500000e-01,0.000000e+00
-1.100000e-01,5.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
1.500000e-02,5.511776e+02,7.500000e-01,5.000000e-01,0.000000e+00
-1.100000e-01,5.015406e+02,7.500000e-01,7.500000e-01,0.000000e+00
1.400000e-01,5.910073e+02,5.000000e-01,5.000000e-01,0.000000e+00
1.500000e-02,5.511776e+02,5.000000e-01,7.500000e-01,0.000000e+00
-1.100000e-01,5.000000e+02,5.000000e-01,1.000000e+00,0.000000e+00
1.400000e-01,5.884835e+02,2.500000e-01,7.500000e-01,0.000000e+00
-1.100000e-01,5.000000e+02,5.000000e-01,1.000000e+00,0.000000e+00
1.500000e-02,5.500000e+02,2.500000e-01,1.000000e+00,0.000000e+00
-2.350000e-01,4.500000e+02,1.000000e+00,7.500000e-01,0.000000e+00
-2.350000e-01,4.500000e+02,7.500000e-01,1.000000e+00,0.000000e+00
