"ls","u","Points:0","Points:1","Points:2"
8.600000e-01,6.002535e+02,0.000000e+00,0.000000e+00,0.000000e+00
-1.490116e-09,4.280355e+02,8.600000e-01,0.000000e+00,0.000000e+00
-1.490116e-09,4.280355e+02,8.600000e-01,5.000000e-01,0.000000e+00
8.600000e-01,6.002535e+02,0.000000e+00,5.000000e-01,0.000000e+00
-1.400000e-01,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
-1.400000e-01,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
-1.490116e-09,4.413706e+02,8.600000e-01,5.000000e-01,0.000000e+00
-1.490116e-09,4.413706e+02,8.600000e-01,0.000000e+00,0.000000e+00
