"ls","u","Points:0","Points:1","Points:2"
6.800000e-01,8.498382e+02,0.000000e+00,0.000000e+00,0.000000e+00
-7.152557e-09,5.439482e+02,6.800000e-01,0.000000e+00,0.000000e+00
-7.152557e-09,5.439482e+02,6.800000e-01,5.000000e-01,0.000000e+00
6.800000e-01,8.498382e+02,0.000000e+00,5.000000e-01,0.000000e+00
-3.200000e-01,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
-3.200000e-01,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
-7.152557e-09,5.562288e+02,6.800000e-01,5.000000e-01,0.000000e+00
-7.152557e-09,5.562288e+02,6.800000e-01,0.000000e+00,0.000000e+00
