"ls","u","Points:0","Points:1","Points:2"
9.800000e-01,4.607470e+02,0.000000e+00,0.000000e+00,0.000000e+00
-8.195639e-10,4.012149e+02,9.800000e-01,0.000000e+00,0.000000e+00
-8.195639e-10,4.012149e+02,9.800000e-01,5.000000e-01,0.000000e+00
9.800000e-01,4.607470e+02,0.000000e+00,5.000000e-01,0.000000e+00
-2.000000e-02,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
-2.000000e-02,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
-8.195639e-10,4.140384e+02,9.800000e-01,5.000000e-01,0.000000e+00
-8.195639e-10,4.140384e+02,9.800000e-01,0.000000e+00,0.000000e+00
