"ls","u","Points:0","Points:1","Points:2"
8.400000e-01,6.257707e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.192093e-09,4.361233e+02,8.400000e-01,0.000000e+00,0.000000e+00
1.192093e-09,4.361233e+02,8.400000e-01,5.000000e-01,0.000000e+00
8.400000e-01,6.257707e+02,0.000000e+00,5.000000e-01,0.000000e+00
-1.600000e-01,4.000000e+02,1.000000e+00,0.000000e+00,0.000000e+00
-1.600000e-01,4.000000e+02,1.000000e+00,5.000000e-01,0.000000e+00
1.192093e-09,4.493828e+02,8.400000e-01,5.000000e-01,0.000000e+00
1.192093e-09,4.493828e+02,8.400000e-01,0.000000e+00,0.000000e+00
