"u","Points:0","Points:1","Points:2"
7.9999443260e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
7.5000684838e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
6.9998806574e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
7.5000737642e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
7.5000684838e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
6.9996737095e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
6.5005512707e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
6.9998806574e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
6.9996737095e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
6.4996845619e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
5.9984763009e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
6.5005512707e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
6.4996845619e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
6.0000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
5.5000000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.9984763009e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
7.5000737642e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
6.9998806574e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
6.5005879476e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
6.9997165200e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
6.9998806574e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
6.5005512707e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.9988125358e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
6.5005879476e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
6.5005512707e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.9984763009e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.5070926743e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
5.9988125358e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
6.9997165200e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
6.5005879476e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.9985613239e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
6.4996987805e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
6.5005879476e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.9988125358e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
5.5071462990e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
