"ls","u","Points:0","Points:1","Points:2"
7.400000e-01,7.181946e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.400000e-01,5.500000e+02,1.000000e+00,0.000000e+00,0.000000e+00
3.371748e-09,4.780000e+02,1.000000e+00,4.800000e-01,0.000000e+00
7.400000e-01,7.181946e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.371748e-09,4.780000e+02,1.000000e+00,4.800000e-01,0.000000e+00
3.371748e-09,4.780000e+02,4.800000e-01,1.000000e+00,0.000000e+00
7.400000e-01,7.181946e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.371748e-09,4.780000e+02,4.800000e-01,1.000000e+00,0.000000e+00
2.400000e-01,5.500000e+02,0.000000e+00,1.000000e+00,0.000000e+00
-2.600000e-01,4.000000e+02,1.000000e+00,1.000000e+00,0.000000e+00
3.371748e-09,4.780000e+02,4.800000e-01,1.000000e+00,0.000000e+00
3.371748e-09,4.780000e+02,1.000000e+00,4.800000e-01,0.000000e+00
