"ls","u","Points:0","Points:1","Points:2"
9.000000e-01,5.401294e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.000000e-01,4.700000e+02,1.000000e+00,0.000000e+00,0.000000e+00
2.775558e-17,4.140000e+02,1.000000e+00,8.000000e-01,0.000000e+00
9.000000e-01,5.401294e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.775558e-17,4.140000e+02,1.000000e+00,8.000000e-01,0.000000e+00
2.775558e-17,4.140000e+02,8.000000e-01,1.000000e+00,0.000000e+00
9.000000e-01,5.401294e+02,0.000000e+00,0.000000e+00,0.000000e+00
2.775558e-17,4.140000e+02,8.000000e-01,1.000000e+00,0.000000e+00
4.000000e-01,4.700000e+02,0.000000e+00,1.000000e+00,0.000000e+00
-1.000000e-01,4.000000e+02,1.000000e+00,1.000000e+00,0.000000e+00
0.000000e+00,4.140000e+02,8.000000e-01,1.000000e+00,0.000000e+00
0.000000e+00,4.140000e+02,1.000000e+00,8.000000e-01,0.000000e+00
