"ls","u","Points:0","Points:1","Points:2"
9.400000e-01,5.000146e+02,0.000000e+00,0.000000e+00,0.000000e+00
4.400000e-01,4.500000e+02,1.000000e+00,0.000000e+00,0.000000e+00
1.685874e-09,4.060000e+02,1.000000e+00,8.800000e-01,0.000000e+00
9.400000e-01,5.000146e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.685874e-09,4.060000e+02,1.000000e+00,8.800000e-01,0.000000e+00
1.685874e-09,4.060000e+02,8.800000e-01,1.000000e+00,0.000000e+00
9.400000e-01,5.000146e+02,0.000000e+00,0.000000e+00,0.000000e+00
1.685874e-09,4.060000e+02,8.800000e-01,1.000000e+00,0.000000e+00
4.400000e-01,4.500000e+02,0.000000e+00,1.000000e+00,0.000000e+00
-6.000000e-02,4.000000e+02,1.000000e+00,1.000000e+00,0.000000e+00
1.685874e-09,4.060000e+02,8.800000e-01,1.000000e+00,0.000000e+00
1.685874e-09,4.060000e+02,1.000000e+00,8.800000e-01,0.000000e+00
