"ls","u","Points:0","Points:1","Points:2"
8.800000e-01,5.602950e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.800000e-01,4.800000e+02,1.000000e+00,0.000000e+00,0.000000e+00
3.371748e-09,4.192000e+02,1.000000e+00,7.600000e-01,0.000000e+00
8.800000e-01,5.602950e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.371748e-09,4.192000e+02,1.000000e+00,7.600000e-01,0.000000e+00
3.371748e-09,4.192000e+02,7.600000e-01,1.000000e+00,0.000000e+00
8.800000e-01,5.602950e+02,0.000000e+00,0.000000e+00,0.000000e+00
3.371748e-09,4.192000e+02,7.600000e-01,1.000000e+00,0.000000e+00
3.800000e-01,4.800000e+02,0.000000e+00,1.000000e+00,0.000000e+00
-1.200000e-01,4.000000e+02,1.000000e+00,1.000000e+00,0.000000e+00
3.371748e-09,4.192000e+02,7.600000e-01,1.000000e+00,0.000000e+00
3.371748e-09,4.192000e+02,1.000000e+00,7.600000e-01,0.000000e+00
