"u","Points:0","Points:1","Points:2"
4.5999999751e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.5250000224e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
4.4499998910e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.5250000236e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.5250000224e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
4.4499999704e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
4.3750001194e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.4499998910e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.4499999704e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
4.3750000180e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
4.2999998848e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.3750001194e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.3750000180e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
4.3000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.2250000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.2999998848e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.5250000236e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.4499998910e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.3750001310e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.4499999661e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.4499998910e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
4.3750001194e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.2999981946e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.3750001310e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.3750001194e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
4.2999998848e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.2250010324e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.2999981946e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.2999998848e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.2250000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.1500000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.2250010324e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.4499999661e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.3750001310e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.2999998635e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.3750000223e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.3750001310e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
4.2999981946e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.2250011181e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.2999998635e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.2999981946e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.2250010324e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.1499671895e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.2250011181e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.2250010324e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.1500000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.0750000000e+02,2.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.1499671895e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.3750000223e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.2999998635e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.2250000000e+02,1.2500000000e+00,2.0000000000e+00,0.0000000000e+00
4.3000000000e+02,1.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.2999998635e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
4.2250011181e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.1500000000e+02,1.5000000000e+00,2.0000000000e+00,0.0000000000e+00
4.2250000000e+02,1.2500000000e+00,2.0000000000e+00,0.0000000000e+00
4.2250011181e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
4.1499671895e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.0750000000e+02,1.7500000000e+00,2.0000000000e+00,0.0000000000e+00
4.1500000000e+02,1.5000000000e+00,2.0000000000e+00,0.0000000000e+00
4.1499671895e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.0750000000e+02,2.0000000000e+00,1.7500000000e+00,0.0000000000e+00
4.0119999996e+02,2.0000000000e+00,1.9600000381e+00,0.0000000000e+00
4.1499671895e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.0119999996e+02,2.0000000000e+00,1.9600000381e+00,0.0000000000e+00
4.0119999996e+02,1.9600000381e+00,2.0000000000e+00,0.0000000000e+00
4.1499671895e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
4.0119999996e+02,1.9600000381e+00,2.0000000000e+00,0.0000000000e+00
4.0750000000e+02,1.7500000000e+00,2.0000000000e+00,0.0000000000e+00
4.0000000000e+02,2.0000000000e+00,2.0000000000e+00,0.0000000000e+00
4.0119999996e+02,1.9600000381e+00,2.0000000000e+00,0.0000000000e+00
4.0119999996e+02,2.0000000000e+00,1.9600000381e+00,0.0000000000e+00
