"u","Points:0","Points:1","Points:2"
6.1999883737e+02,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00
5.9249633858e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.6499993710e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.9249626999e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.9249633858e+02,1.2500000000e+00,1.0000000000e+00,0.0000000000e+00
5.6499769092e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
5.3748722784e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.6499993710e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.6499769092e+02,1.5000000000e+00,1.0000000000e+00,0.0000000000e+00
5.3749768893e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
5.0999669561e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.3748722784e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.3749768893e+02,1.7500000000e+00,1.0000000000e+00,0.0000000000e+00
5.1000000000e+02,2.0000000000e+00,1.0000000000e+00,0.0000000000e+00
4.8250000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.0999669561e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
5.9249626999e+02,1.0000000000e+00,1.2500000000e+00,0.0000000000e+00
5.6499993710e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.3748662050e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.6499741665e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.6499993710e+02,1.2500000000e+00,1.2500000000e+00,0.0000000000e+00
5.3748722784e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.1002994006e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
5.3748662050e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.3748722784e+02,1.5000000000e+00,1.2500000000e+00,0.0000000000e+00
5.0999669561e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.8236907724e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
5.1002994006e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
5.0999669561e+02,1.7500000000e+00,1.2500000000e+00,0.0000000000e+00
4.8250000000e+02,2.0000000000e+00,1.2500000000e+00,0.0000000000e+00
4.5500000000e+02,2.0000000000e+00,1.5000000000e+00,0.0000000000e+00
4.8236907724e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
5.6499741665e+02,1.0000000000e+00,1.5000000000e+00,0.0000000000e+00
5.3748662050e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.0999607118e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
5.3749725982e+02,1.0000000000e+00,1.7500000000e+00,0.0000000000e+00
5.3748662050e+02,1.2500000000e+00,1.5000000000e+00,0.0000000000e+00
5.1002994006e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.8236765276e+02,1.5000000000e+00,1.7500000000e+00,0.0000000000e+00
5.0999607118e+02,1.2500000000e+00,1.7500000000e+00,0.0000000000e+00
5.1002994006e+02,1.5000000000e+00,1.5000000000e+00,0.0000000000e+00
4.8236907724e+02,1.7500000000e+00,1.5000000000e+00,0.0000000000e+00
4.5545417474e+02,1.7500000000e+00,1.7500000000e+00,0.0000000000e+00
